Receipt.No,Employee.No,Amount
3541,85,$703.00 
3542,26,$416.05 
3543,9,$494.30 
3544,59,$822.54 
3545,32,$365.93 
3546,80,$702.56 
3547,76,$77.61 
3548,82,$822.24 
3549,42,$562.96 
3550,57,$199.96 
3551,27,$983.28 
3552,23,$896.94 
3553,92,$738.22 
3554,13,$489.24 
3555,28,$905.24 
3556,65,$105.64 
3557,79,$60.06 
3558,64,$197.66 
3559,36,$698.10 
3560,9,$78.54 
3561,65,$343.89 
3562,3,$162.06 
3563,97,$470.67 
3564,10,$697.36 
3565,14,$890.40 
3566,74,$761.99 
3567,88,$50.35 
3568,22,$74.58 
3569,17,$779.57 
3570,11,$520.16 
3571,52,$58.79 
3572,56,$137.00 
3573,14,$811.00 
3574,13,$277.71 
3575,76,$894.63 
3576,80,$95.87 
3577,68,$702.21 
3578,65,$712.10 
3579,85,$453.02 
3580,9,$208.98 
3581,84,$574.90 
3582,91,$779.46 
3583,90,$415.75 
3584,59,$311.63 
3585,80,$447.72 
3586,62,$51.22 
3587,82,$231.34 
3588,49,$758.60 
3589,6,$987.93 
3590,38,$989.59 
3591,26,$125.83 
3592,65,$429.49 
3593,79,$361.88 
3594,5,$936.50 
3595,89,$79.13 
3596,97,$631.28 
3597,0,$447.60 
3598,77,$838.81 
3599,56,$144.71 
3600,82,$650.95 
3601,89,$174.66 
3602,29,$522.64 
3603,95,$8.74 
3604,81,$737.79 
3605,15,$470.13 
3606,51,$603.78 
3607,54,$499.49 
3608,59,$179.41 
3609,70,$578.85 
3610,69,$531.40 
3611,89,$665.35 
3612,29,$697.35 
3613,66,$993.09 
3614,60,$752.85 
3615,90,$948.67 
3616,30,$915.94 
3617,73,$208.33 
3618,81,$867.32 
3619,65,$115.92 
3620,76,$477.30 
3621,68,$320.44 
3622,43,$952.55 
3623,4,$486.97 
3624,44,$893.58 
3625,56,$340.68 
3626,32,$396.08 
3627,23,$919.27 
3628,30,$112.25 
3629,86,$681.00 
3630,50,$881.30 
3631,79,$678.00 
3632,53,$296.48 
3633,52,$555.41 
3634,62,$691.55 
3635,43,$510.87 
3636,14,$325.46 
3637,13,$361.62 
3638,47,$367.26 
3639,82,$346.12 
3640,11,$81.28 
3641,63,$734.71 
3642,34,$726.77 
3643,17,$163.62 
3644,28,$276.38 
3645,42,$235.06 
3646,26,$893.85 
3647,56,$880.82 
3648,14,$868.16 
3649,48,$645.00 
3650,54,$187.03 
3651,36,$683.32 
3652,60,$942.68 
3653,30,$294.60 
3654,9,$661.46 
3655,98,$606.60 
3656,43,$663.74 
3657,5,$221.71 
3658,87,$306.09 
3659,6,$93.64 
3660,69,$812.83 
3661,75,$595.39 
3662,87,$969.84 
3663,78,$100.36 
3664,55,$807.06 
3665,74,$414.57 
3666,72,$803.55 
3667,64,$645.48 
3668,65,$272.34 
3669,21,$598.03 
3670,56,$165.68 
3671,32,$404.83 
3672,76,$914.64 
3673,95,$7.10 
3674,52,$180.74 
3675,39,$303.82 
3676,67,$407.59 
3677,24,$814.95 
3678,57,$740.17 
3679,52,$311.07 
3680,71,$120.51 
3681,78,$691.45 
3682,3,$869.41 
3683,25,$885.50 
3684,78,$998.16 
3685,40,$540.90 
3686,27,$960.69 
3687,20,$209.89 
3688,36,$912.44 
3689,74,$577.66 
3690,56,$662.98 
3691,49,$263.42 
3692,31,$584.74 
3693,77,$336.44 
3694,23,$780.93 
3695,55,$577.12 
3696,19,$369.18 
3697,99,$957.58 
3698,37,$879.56 
3699,42,$437.78 
3700,7,$292.46 
3701,72,$270.11 
3702,41,$1.08 
3703,61,$445.06 
3704,59,$313.16 
3705,36,$476.01 
3706,48,$40.97 
3707,47,$548.49 
3708,28,$478.26 
3709,40,$924.64 
3710,76,$504.98 
3711,66,$324.52 
3712,9,$690.12 
3713,70,$687.30 
3714,4,$209.58 
3715,26,$954.43 
3716,87,$749.57 
3717,25,$893.92 
3718,81,$351.15 
3719,47,$616.44 
3720,69,$521.66 
3721,24,$99.35 
3722,26,$595.38 
3723,71,$544.07 
3724,63,$651.34 
3725,4,$593.08 
3726,46,$402.02 
3727,81,$118.65 
3728,74,$378.71 
3729,8,$685.50 
3730,8,$814.10 
3731,36,$749.46 
3732,87,$896.85 
3733,85,$319.81 
3734,69,$120.38 
3735,42,$318.43 
3736,53,$457.60 
3737,22,$432.22 
3738,27,$457.20 
3739,73,$329.18 
3740,43,$814.74 
3741,20,$877.58 
3742,71,$105.88 
3743,93,$592.25 
3744,28,$666.28 
3745,51,$413.07 
3746,38,$11.06 
3747,63,$736.11 
3748,76,$652.91 
3749,18,$480.29 
3750,11,$290.56 
3751,33,$464.13
3752,90,$148.21 
3753,58,$882.31 
3754,44,$9.56 
3755,10,$640.03 
3756,28,$216.93 
3757,60,$911.63 
3758,41,$215.74 
3759,99,$732.06 
3760,13,$93.91 
3761,98,$672.53 
3762,62,$969.99 
3763,4,$244.93 
3764,53,$924.22 
3765,81,$400.90 
3766,90,$998.76 
3767,84,$942.18 
3768,90,$42.17 
3769,40,$447.41 
3770,2,$25.90 
3771,71,$120.85 
3772,9,$78.72 
3773,77,$402.19 
3774,35,$525.90 
3775,74,$849.92 
3776,95,$370.96 
3777,81,$927.10 
3778,11,$680.31 
3779,86,$679.03 
3780,35,$317.07 
3781,70,$619.47 
3782,4,$142.83 
3783,15,$602.17 
3784,79,$220.69 
3785,55,$116.63 
3786,64,$891.67 
3787,3,$945.35 
3788,55,$718.74 
3789,79,$138.07 
3790,98,$540.73 
3791,12,$14.42 
3792,84,$462.37 
3793,38,$23.19 
3794,71,$658.50 
3795,87,$278.10 
3796,77,$837.35 
3797,27,$399.30 
3798,58,$525.96 
3799,39,$48.78 
3800,82,$590.31 
3801,44,$277.92 
3802,2,$709.58 
3803,30,$440.49 
3804,5,$479.00 
3805,18,$865.29 
3806,55,$2.13 
3807,54,$420.87 
3808,98,$887.49 
3809,63,$765.91 
3810,42,$794.42 
3811,37,$168.54 
3812,21,$419.94 
3813,67,$571.79 
3814,87,$711.30 
3815,8,$523.31 
3816,24,$182.46 
3817,25,$704.63 
3818,65,$524.33 
3819,41,$903.30 
3820,5,$863.63 
3821,99,$338.57 
3822,30,$652.49 
3823,90,$205.93 
3824,94,$339.19 
3825,81,$384.17 
3826,70,$283.66 
3827,87,$258.48 
3828,45,$658.03 
3829,8,$158.25 
3830,50,$860.05 
3831,38,$720.18 
3832,6,$298.68 
3833,42,$529.04 
3834,43,$363.89 
3835,91,$206.41 
3836,77,$728.85 
3837,47,$566.83 
3838,52,$801.12 
3839,78,$627.36 
3840,65,$599.36 
3841,6,$157.66 
3842,73,$31.52 
3843,47,$761.14 
3844,36,$445.10 
3845,57,$52.41 
3846,46,$956.10 
3847,57,$807.28 
3848,31,$521.59 
3849,80,$415.71 
3850,89,$351.66 
3851,0,$554.39 
3852,61,$921.89 
3853,24,$163.19 
3854,14,$335.30 
3855,39,$601.36 
3856,86,$79.07 
3857,56,$906.79 
3858,45,$57.65 
3859,0,$640.20 
3860,32,$703.86 
3861,2,$209.72 
3862,92,$291.08 
3863,76,$669.87 
3864,15,$697.48 
3865,40,$507.61 
3866,17,$23.28 
3867,21,$563.36 
3868,88,$365.10 
3869,9,$561.04 
3870,29,$504.87 
3871,12,$420.17 
3872,29,$935.89 
3873,3,$473.56 
3874,94,$789.03 
3875,6,$180.08 
3876,1,$600.98 
3877,12,$579.90 
3878,43,$785.95 
3879,87,$152.72 
3880,16,$478.97 
3881,99,$393.57 
3882,43,$345.66 
3883,0,$823.99 
3884,48,$542.50 
3885,37,$861.90 
3886,83,$842.96 
3887,56,$843.71 
3888,98,$89.55 
3889,78,$566.50 
3890,43,$91.70 
3891,66,$511.62 
3892,59,$783.08 
3893,83,$686.18 
3894,77,$325.96 
3895,8,$736.54 
3896,36,$81.97 
3897,73,$230.84 
3898,57,$651.39 
3899,9,$913.26 
3900,50,$646.66 
3901,98,$191.40 
3902,66,$962.76 
3903,33,$491.69
3904,16,$793.22 
3905,63,$9.91 
3906,55,$875.43 
3907,56,$200.20 
3908,43,$67.83 
3909,78,$145.67 
3910,72,$954.05 
3911,86,$475.28 
3912,61,$320.75 
3913,51,$190.48 
3914,2,$312.97 
3915,21,$49.63 
3916,98,$930.60 
3917,22,$981.33 
3918,89,$351.85 
3919,69,$629.97 
3920,85,$173.95 
3921,62,$212.60 
3922,44,$259.16 
3923,96,$822.68 
3924,28,$467.13 
3925,61,$361.04 
3926,43,$810.64 
3927,9,$756.88 
3928,69,$688.30 
3929,81,$144.52 
3930,27,$856.22 
3931,60,$719.82 
3932,81,$331.44 
